Zone_,Code zone (ISO3)_,TAS_V,TDI_V,M_V,crl_n,C_Vol,C_Viande,Q__Vol,D_ Kca,stabilite_politique,acces_leau,Population totale,pib
Cambodge,KHM,69.2,25.6,26.11,858.0,36.0,854.69,27.0,184.15999999999997,0.09,70.0,15830.689,3928.4
Kiribati,KIR,33.3,33.3,3.3200000000000003,0.0,2.0,9.86,1.0,306.96,0.88,76.0,120.362,2069.1
Saint-Kitts-et-Nevis,KNA,0.0,100.0,7.48,0.0,3.0,6.57,0.0,479.86,0.65,99.0,47.785,26980.3
République de Corée,KOR,86.5,14.1,2024.01,8376.59,968.0,4622.93,838.0,360.04999999999995,0.39,100.0,51511.639,40957.4
Koweït,KWT,29.6,72.5,237.92000000000002,770.03,188.0,310.74,56.0,309.50000000000006,-0.05,100.0,4124.904,50855.6
République démocratique populaire lao,LAO,86.8,13.2,9.55,861.8,38.0,358.64,33.0,230.76,0.4,81.0,6997.917,7257.8
Liban,LBN,85.0,8.8,88.59,758.2,122.0,242.85,125.0,150.16000000000003,-1.63,92.0,6109.252,15953.7
Libéria,LBR,23.8,76.2,68.03,21.0,63.0,108.21000000000001,15.0,107.25,-0.33,74.0,4796.631,1564.2
Libye,LBY,69.2,30.8,131.38,1490.0,185.0,323.39,128.0,190.3,-2.36,99.0,6378.261,23468.0
Sainte-Lucie,LCA,16.7,83.3,16.59,1.0,11.0,21.11,2.0,534.65,0.99,96.0,177.163,14928.4
Sri Lanka,LKA,101.1,0.0,207.09,310.7,190.0,772.2099999999999,192.0,91.32000000000001,-0.07,92.0,21506.813,12584.1
Lesotho,LSO,22.2,122.2,31.67,5.0,17.0,53.59,2.0,140.03,-0.19,71.0,2170.617,2668.3
Lituanie,LTU,97.1,31.9,251.42000000000002,489.71,80.0,310.78999999999996,134.0,455.41,0.78,98.0,2904.45,33761.9
